"","X.2","X.1","X","rwr_rank","help_vote","vote","top1","top10","top50","top500","top1000","vine"
"1035",1035,1035,1035,10864972,1,1,NA,NA,NA,NA,NA,NA
"1036",1036,1036,1036,84591,135,144,NA,NA,NA,NA,NA,NA
"1037",1037,1037,1037,25474354,0,1,NA,NA,NA,NA,NA,NA
"1038",1038,1038,1038,780805,10,14,NA,NA,NA,NA,NA,NA
"1039",1039,1039,1039,1192732,14,25,NA,NA,NA,NA,NA,NA
"1040",1040,1040,1040,70995,128,154,NA,NA,NA,NA,NA,NA
"1041",1041,1041,1041,2112922,18,24,NA,NA,NA,NA,NA,NA
"1042",1042,1042,1042,416844,70,86,NA,NA,NA,NA,NA,NA
"1043",1043,1043,1043,1900361,5,8,NA,NA,NA,NA,NA,NA
"1044",1044,1044,1044,63081,161,194,NA,NA,NA,NA,NA,NA
"1045",1045,1045,1045,975873,6,9,NA,NA,NA,NA,NA,NA
"1046",1046,1046,1046,21025711,5,6,NA,NA,NA,NA,NA,NA
"1047",1047,1047,1047,34557376,6,23,NA,NA,NA,NA,NA,NA
"1048",1048,1048,1048,420070,63,103,NA,NA,NA,NA,NA,NA
"1049",1049,1049,1049,3035,4417,5115,NA,NA,NA,NA,NA,"VINE VOICE"
"1050",1050,1050,1050,8148396,6,11,NA,NA,NA,NA,NA,NA
"1051",1051,1051,1051,559907,108,127,NA,NA,NA,NA,NA,NA
"1052",1052,1052,1052,2479322,7,14,NA,NA,NA,NA,NA,NA
"1053",1053,1053,1053,9579037,2,2,NA,NA,NA,NA,NA,NA
"1054",1054,1054,1054,3447016,96,108,NA,NA,NA,NA,NA,NA
"1055",1055,1055,1055,645767,46,63,NA,NA,NA,NA,NA,NA
"1056",1056,1056,1056,943613,11,14,NA,NA,NA,NA,NA,NA
"1057",1057,1057,1057,242461,856,985,NA,NA,NA,NA,NA,NA
"1058",1058,1058,1058,19098433,1,1,NA,NA,NA,NA,NA,NA
"1059",1059,1059,1059,120912,236,285,NA,NA,NA,NA,NA,NA
"1060",1060,1060,1060,35339341,10,28,NA,NA,NA,NA,NA,NA
"1061",1061,1061,1061,34338860,0,3,NA,NA,NA,NA,NA,NA
"1062",1062,1062,1062,12332703,57,69,NA,NA,NA,NA,NA,NA
"1063",1063,1063,1063,1408044,53,58,NA,NA,NA,NA,NA,NA
"1064",1064,1064,1064,948186,161,193,NA,NA,NA,NA,NA,NA
"1065",1065,1065,1065,34802529,0,2,NA,NA,NA,NA,NA,NA
"1066",1066,1066,1066,52625,517,708,NA,NA,NA,NA,NA,NA
"1067",1067,1067,1067,169645,139,176,NA,NA,NA,NA,NA,NA
"1068",1068,1068,1068,1819,2505,2911,NA,NA,NA,NA,NA,"VINE VOICE"
"1069",1069,1069,1069,912358,51,57,NA,NA,NA,NA,NA,NA
"1070",1070,1070,1070,1616144,19,31,NA,NA,NA,NA,NA,NA
"1071",1071,1071,1071,1439616,10,16,NA,NA,NA,NA,NA,NA
"1072",1072,1072,1072,12487735,4,9,NA,NA,NA,NA,NA,NA
"1073",1073,1073,1073,20770449,2,2,NA,NA,NA,NA,NA,NA
"1074",1074,1074,1074,727008,15,27,NA,NA,NA,NA,NA,NA
"1075",1075,1075,1075,18821745,2,3,NA,NA,NA,NA,NA,NA
"1076",1076,1076,1076,1581194,25,39,NA,NA,NA,NA,NA,NA
"1077",1077,1077,1077,139291,59,67,NA,NA,NA,NA,NA,NA
"1078",1078,1078,1078,7247226,2,3,NA,NA,NA,NA,NA,NA
"1079",1079,1079,1079,455382,22,29,NA,NA,NA,NA,NA,NA
"1080",1080,1080,1080,11144550,7,7,NA,NA,NA,NA,NA,NA
"1081",1081,1081,1081,25494331,0,1,NA,NA,NA,NA,NA,NA
"1082",1082,1082,1082,638,4585,5191,NA,NA,NA,NA,"TOP 1000 REVIEWER<","VINE VOICE"
"1083",1083,1083,1083,16258050,2,3,NA,NA,NA,NA,NA,NA
"1084",1084,1084,1084,503,6894,7535,NA,NA,NA,NA,"TOP 1000 REVIEWER<",NA
"1085",1085,1085,1085,309156,113,152,NA,NA,NA,NA,NA,NA
"1086",1086,1086,1086,2024754,23,31,NA,NA,NA,NA,NA,NA
"1087",1087,1087,1087,127445,170,213,NA,NA,NA,NA,NA,NA
"1088",1088,1088,1088,20822995,6,7,NA,NA,NA,NA,NA,NA
"1089",1089,1089,1089,394952,61,70,NA,NA,NA,NA,NA,NA
"1090",1090,1090,1090,43195,1141,1300,NA,NA,NA,NA,NA,"VINE VOICE"
"1091",1091,1091,1091,244428,133,166,NA,NA,NA,NA,NA,NA
"1092",1092,1092,1092,1026204,13,25,NA,NA,NA,NA,NA,NA
"1093",1093,1093,1093,35216912,4,16,NA,NA,NA,NA,NA,NA
"1094",1094,1094,1094,9645232,4,5,NA,NA,NA,NA,NA,NA
"1095",1095,1095,1095,13416180,2,5,NA,NA,NA,NA,NA,NA
"1096",1096,1096,1096,164462,61,63,NA,NA,NA,NA,NA,NA
"1097",1097,1097,1097,4653626,4,4,NA,NA,NA,NA,NA,NA
"1098",1098,1098,1098,1006175,13,17,NA,NA,NA,NA,NA,NA
"1099",1099,1099,1099,3604118,2,3,NA,NA,NA,NA,NA,NA
"1100",1100,1100,1100,9314847,1,1,NA,NA,NA,NA,NA,NA
"1101",1101,1101,1101,715779,33,36,NA,NA,NA,NA,NA,NA
"1102",1102,1102,1102,1610150,22,26,NA,NA,NA,NA,NA,NA
"1103",1103,1103,1103,21855228,0,1,NA,NA,NA,NA,NA,NA
"1104",1104,1104,1104,881072,2063,2210,NA,NA,NA,NA,NA,NA
"1105",1105,1105,1105,2613799,11,11,NA,NA,NA,NA,NA,NA
"1106",1106,1106,1106,3808324,10,13,NA,NA,NA,NA,NA,NA
"1107",1107,1107,1107,11762532,1,1,NA,NA,NA,NA,NA,NA
"1108",1108,1108,1108,584194,239,317,NA,NA,NA,NA,NA,NA
"1109",1109,1109,1109,2012122,11,12,NA,NA,NA,NA,NA,NA
"1110",1110,1110,1110,4919240,4,4,NA,NA,NA,NA,NA,NA
"1111",1111,1111,1111,1150146,38,76,NA,NA,NA,NA,NA,NA
"1112",1112,1112,1112,1816484,40,48,NA,NA,NA,NA,NA,NA
"1113",1113,1113,1113,814039,14,18,NA,NA,NA,NA,NA,NA
"1114",1114,1114,1114,17362733,1,1,NA,NA,NA,NA,NA,NA
"1115",1115,1115,1115,101716,179,225,NA,NA,NA,NA,NA,NA
"1116",1116,1116,1116,2816462,26,28,NA,NA,NA,NA,NA,NA
"1117",1117,1117,1117,21391361,11,13,NA,NA,NA,NA,NA,NA
"1118",1118,1118,1118,1729,885,938,NA,NA,NA,NA,NA,NA
"1119",1119,1119,1119,11671255,1,2,NA,NA,NA,NA,NA,NA
"1120",1120,1120,1120,806745,51,58,NA,NA,NA,NA,NA,NA
"1121",1121,1121,1121,31023,623,854,NA,NA,NA,NA,NA,"VINE VOICE"
"1122",1122,1122,1122,905023,10,11,NA,NA,NA,NA,NA,NA
"1123",1123,1123,1123,15233068,4,8,NA,NA,NA,NA,NA,NA
"1124",1124,1124,1124,53188,184,222,NA,NA,NA,NA,NA,NA
"1125",1125,1125,1125,324886,120,144,NA,NA,NA,NA,NA,NA
"1126",1126,1126,1126,7317098,13,20,NA,NA,NA,NA,NA,NA
"1127",1127,1127,1127,34130910,73,182,NA,NA,NA,NA,NA,NA
"1128",1128,1128,1128,358981,43,51,NA,NA,NA,NA,NA,NA
"1129",1129,1129,1129,24943,489,533,NA,NA,NA,NA,NA,NA
"1130",1130,1130,1130,27018729,1,2,NA,NA,NA,NA,NA,NA
"1131",1131,1131,1131,40134,227,261,NA,NA,NA,NA,NA,NA
"1132",1132,1132,1132,856046,43,52,NA,NA,NA,NA,NA,NA
"1133",1133,1133,1133,26983959,1,1,NA,NA,NA,NA,NA,NA
"1134",1134,1134,1134,4817,1605,1750,NA,NA,NA,NA,NA,NA
"1135",1135,1135,1135,34783199,68,143,NA,NA,NA,NA,NA,NA
"1136",1136,1136,1136,17621575,1,1,NA,NA,NA,NA,NA,NA
"1137",1137,1137,1137,497074,64,80,NA,NA,NA,NA,NA,NA
"1138",1138,1138,1138,2219867,5,7,NA,NA,NA,NA,NA,NA
"1139",1139,1139,1139,2362,3174,3777,NA,NA,NA,NA,NA,"VINE VOICE"
"1140",1140,1140,1140,14941068,1,1,NA,NA,NA,NA,NA,NA
"1141",1141,1141,1141,13543158,1,1,NA,NA,NA,NA,NA,NA
"1142",1142,1142,1142,2902517,19,34,NA,NA,NA,NA,NA,NA
"1143",1143,1143,1143,613810,28,33,NA,NA,NA,NA,NA,NA
"1144",1144,1144,1144,7894737,1,1,NA,NA,NA,NA,NA,NA
"1145",1145,1145,1145,22936568,2,4,NA,NA,NA,NA,NA,NA
"1146",1146,1146,1146,2987928,34,37,NA,NA,NA,NA,NA,NA
"1147",1147,1147,1147,5103125,4,7,NA,NA,NA,NA,NA,NA
"1148",1148,1148,1148,21540643,0,1,NA,NA,NA,NA,NA,NA
"1149",1149,1149,1149,6712,2220,3225,NA,NA,NA,NA,NA,"VINE VOICE"
"1150",1150,1150,1150,35346031,20,57,NA,NA,NA,NA,NA,NA
"1151",1151,1151,1151,34473198,0,2,NA,NA,NA,NA,NA,NA
"1152",1152,1152,1152,4601992,10,11,NA,NA,NA,NA,NA,NA
"1153",1153,1153,1153,426353,75,114,NA,NA,NA,NA,NA,NA
"1154",1154,1154,1154,21165098,7,9,NA,NA,NA,NA,NA,NA
"1155",1155,1155,1155,6798655,1,1,NA,NA,NA,NA,NA,NA
"1156",1156,1156,1156,1626897,15,18,NA,NA,NA,NA,NA,NA
"1157",1157,1157,1157,4578629,5,11,NA,NA,NA,NA,NA,NA
"1158",1158,1158,1158,93911,260,300,NA,NA,NA,NA,NA,NA
"1159",1159,1159,1159,4947814,10,10,NA,NA,NA,NA,NA,NA
"1160",1160,1160,1160,23984239,1,1,NA,NA,NA,NA,NA,NA
"1161",1161,1161,1161,12108810,2,2,NA,NA,NA,NA,NA,NA
"1162",1162,1162,1162,330029,42,48,NA,NA,NA,NA,NA,NA
"1163",1163,1163,1163,25750094,0,1,NA,NA,NA,NA,NA,NA
"1164",1164,1164,1164,5096251,1,1,NA,NA,NA,NA,NA,NA
"1165",1165,1165,1165,6735089,62,63,NA,NA,NA,NA,NA,NA
"1166",1166,1166,1166,25185436,0,1,NA,NA,NA,NA,NA,NA
"1167",1167,1167,1167,3527990,77,96,NA,NA,NA,NA,NA,NA
"1168",1168,1168,1168,3264702,3,4,NA,NA,NA,NA,NA,NA
"1169",1169,1169,1169,245466,22,29,NA,NA,NA,NA,NA,NA
"1170",1170,1170,1170,486317,124,152,NA,NA,NA,NA,NA,NA
"1171",1171,1171,1171,456490,29,33,NA,NA,NA,NA,NA,NA
"1172",1172,1172,1172,448628,31,43,NA,NA,NA,NA,NA,NA
"1173",1173,1173,1173,17773780,2,3,NA,NA,NA,NA,NA,NA
"1174",1174,1174,1174,14747800,4,6,NA,NA,NA,NA,NA,NA
"1175",1175,1175,1175,5081486,9,10,NA,NA,NA,NA,NA,NA
"1176",1176,1176,1176,569768,95,119,NA,NA,NA,NA,NA,NA
"1177",1177,1177,1177,20928,878,1096,NA,NA,NA,NA,NA,"VINE VOICE"
"1178",1178,1178,1178,4536654,18,35,NA,NA,NA,NA,NA,NA
"1179",1179,1179,1179,7505691,1,1,NA,NA,NA,NA,NA,NA
"1180",1180,1180,1180,7489684,2,3,NA,NA,NA,NA,NA,NA
"1181",1181,1181,1181,531448,287,327,NA,NA,NA,NA,NA,NA
"1182",1182,1182,1182,24305389,26,33,NA,NA,NA,NA,NA,NA
"1183",1183,1183,1183,243317,88,106,NA,NA,NA,NA,NA,NA
"1184",1184,1184,1184,894569,13,13,NA,NA,NA,NA,NA,NA
"1185",1185,1185,1185,19682665,2,4,NA,NA,NA,NA,NA,NA
"1186",1186,1186,1186,35346689,153,222,NA,NA,NA,NA,NA,NA
"1187",1187,1187,1187,6734537,36,49,NA,NA,NA,NA,NA,NA
"1188",1188,1188,1188,37793,308,365,NA,NA,NA,NA,NA,NA
"1189",1189,1189,1189,53133,140,156,NA,NA,NA,NA,NA,NA
"1190",1190,1190,1190,2128413,22,33,NA,NA,NA,NA,NA,NA
"1191",1191,1191,1191,309305,38,44,NA,NA,NA,NA,NA,NA
"1192",1192,1192,1192,15271,317,393,NA,NA,NA,NA,NA,NA
"1193",1193,1193,1193,20916804,1,1,NA,NA,NA,NA,NA,NA
"1194",1194,1194,1194,256202,46,58,NA,NA,NA,NA,NA,NA
"1195",1195,1195,1195,19668788,4,4,NA,NA,NA,NA,NA,NA
"1196",1196,1196,1196,851412,26,26,NA,NA,NA,NA,NA,NA
"1197",1197,1197,1197,34358235,5,15,NA,NA,NA,NA,NA,NA
"1198",1198,1198,1198,18707725,17,21,NA,NA,NA,NA,NA,NA
"1199",1199,1199,1199,732901,25,41,NA,NA,NA,NA,NA,NA
"1200",1200,1200,1200,324823,33,38,NA,NA,NA,NA,NA,NA
"1201",1201,1201,1201,2766469,3,4,NA,NA,NA,NA,NA,NA
"1202",1202,1202,1202,892792,7,9,NA,NA,NA,NA,NA,NA
"1203",1203,1203,1203,27773372,1,1,NA,NA,NA,NA,NA,NA
"1204",1204,1204,1204,245570,93,126,NA,NA,NA,NA,NA,NA
"1205",1205,1205,1205,46512,268,319,NA,NA,NA,NA,NA,NA
"1206",1206,1206,1206,6023093,7,9,NA,NA,NA,NA,NA,NA
"1207",1207,1207,1207,34959959,21,47,NA,NA,NA,NA,NA,NA
"1208",1208,1208,1208,90265,116,164,NA,NA,NA,NA,NA,NA
"1209",1209,1209,1209,21764076,1,2,NA,NA,NA,NA,NA,NA
"1210",1210,1210,1210,13714872,1,1,NA,NA,NA,NA,NA,NA
"1211",1211,1211,1211,35322604,120,182,NA,NA,NA,NA,NA,NA
"1212",1212,1212,1212,21081672,1,1,NA,NA,NA,NA,NA,NA
"1213",1213,1213,1213,34501440,4,10,NA,NA,NA,NA,NA,NA
"1214",1214,1214,1214,103357,216,286,NA,NA,NA,NA,NA,NA
"1215",1215,1215,1215,9208,725,913,NA,NA,NA,NA,NA,"VINE VOICE"
"1216",1216,1216,1216,4797688,8,17,NA,NA,NA,NA,NA,NA
"1217",1217,1217,1217,346890,39,43,NA,NA,NA,NA,NA,NA
"1218",1218,1218,1218,1227241,64,100,NA,NA,NA,NA,NA,NA
"1219",1219,1219,1219,2938174,10,11,NA,NA,NA,NA,NA,NA
"1220",1220,1220,1220,546825,30,34,NA,NA,NA,NA,NA,NA
"1221",1221,1221,1221,673750,73,74,NA,NA,NA,NA,NA,NA
"1222",1222,1222,1222,1282541,33,48,NA,NA,NA,NA,NA,NA
"1223",1223,1223,1223,22656361,1,1,NA,NA,NA,NA,NA,NA
"1224",1224,1224,1224,125239,36,41,NA,NA,NA,NA,NA,NA
"1225",1225,1225,1225,4387593,3,6,NA,NA,NA,NA,NA,NA
"1226",1226,1226,1226,1023655,9,11,NA,NA,NA,NA,NA,NA
"1227",1227,1227,1227,3766,1897,2140,NA,NA,NA,NA,NA,"VINE VOICE"
"1228",1228,1228,1228,35240830,14,38,NA,NA,NA,NA,NA,NA
"1229",1229,1229,1229,12473531,1,2,NA,NA,NA,NA,NA,NA
"1230",1230,1230,1230,2120801,19,22,NA,NA,NA,NA,NA,NA
"1231",1231,1231,1231,311060,42,62,NA,NA,NA,NA,NA,NA
"1232",1232,1232,1232,1941448,21,35,NA,NA,NA,NA,NA,NA
"1233",1233,1233,1233,25658140,0,1,NA,NA,NA,NA,NA,NA
"1234",1234,1234,1234,34406854,6,13,NA,NA,NA,NA,NA,NA
"1235",1235,1235,1235,29515398,2,2,NA,NA,NA,NA,NA,NA
"1236",1236,1236,1236,2803022,2,2,NA,NA,NA,NA,NA,NA
"1237",1237,1237,1237,6737163,0,1,NA,NA,NA,NA,NA,NA
"1238",1238,1238,1238,101808,809,937,NA,NA,NA,NA,NA,NA
"1239",1239,1239,1239,26547727,0,1,NA,NA,NA,NA,NA,NA
"1240",1240,1240,1240,10105517,1,1,NA,NA,NA,NA,NA,NA
"1241",1241,1241,1241,902184,40,66,NA,NA,NA,NA,NA,NA
"1242",1242,1242,1242,2850625,58,63,NA,NA,NA,NA,NA,NA
"1243",1243,1243,1243,2721643,6,8,NA,NA,NA,NA,NA,NA
"1244",1244,1244,1244,2132989,9,9,NA,NA,NA,NA,NA,NA
"1245",1245,1245,1245,14802,738,927,NA,NA,NA,NA,NA,"VINE VOICE"
"1246",1246,1246,1246,23993963,1,1,NA,NA,NA,NA,NA,NA
"1247",1247,1247,1247,22,24930,27051,NA,NA,"TOP 50 REVIEWER<",NA,NA,NA
"1248",1248,1248,1248,1832,1297,1455,NA,NA,NA,NA,NA,NA
"1249",1249,1249,1249,2208207,10,16,NA,NA,NA,NA,NA,NA
"1250",1250,1250,1250,11262502,1,1,NA,NA,NA,NA,NA,NA
"1251",1251,1251,1251,2844646,30,36,NA,NA,NA,NA,NA,NA
"1252",1252,1252,1252,10168961,3,5,NA,NA,NA,NA,NA,NA
"1253",1253,1253,1253,1142649,19,23,NA,NA,NA,NA,NA,NA
"1254",1254,1254,1254,163310,89,92,NA,NA,NA,NA,NA,NA
"1255",1255,1255,1255,5273784,2,2,NA,NA,NA,NA,NA,NA
"1256",1256,1256,1256,2934819,12,14,NA,NA,NA,NA,NA,NA
"1257",1257,1257,1257,5320919,1,1,NA,NA,NA,NA,NA,NA
"1258",1258,1258,1258,8439340,71,89,NA,NA,NA,NA,NA,NA
"1259",1259,1259,1259,422130,39,40,NA,NA,NA,NA,NA,NA
"1260",1260,1260,1260,25091,1668,2208,NA,NA,NA,NA,NA,NA
"1261",1261,1261,1261,34986498,5,13,NA,NA,NA,NA,NA,NA
"1262",1262,1262,1262,3983,1240,1766,NA,NA,NA,NA,NA,NA
"1263",1263,1263,1263,26641435,7,12,NA,NA,NA,NA,NA,NA
"1264",1264,1264,1264,25443178,2,5,NA,NA,NA,NA,NA,NA
"1265",1265,1265,1265,6175681,4,4,NA,NA,NA,NA,NA,NA
"1266",1266,1266,1266,9319278,10,10,NA,NA,NA,NA,NA,NA
"1267",1267,1267,1267,3779,1961,2840,NA,NA,NA,NA,NA,"VINE VOICE"
"1268",1268,1268,1268,930325,13,15,NA,NA,NA,NA,NA,NA
"1269",1269,1269,1269,4909948,7,8,NA,NA,NA,NA,NA,NA
"1270",1270,1270,1270,34508368,23,36,NA,NA,NA,NA,NA,NA
"1271",1271,1271,1271,3226,1818,2045,NA,NA,NA,NA,NA,"VINE VOICE"
"1272",1272,1272,1272,13258175,2,4,NA,NA,NA,NA,NA,NA
"1273",1273,1273,1273,1079270,14,27,NA,NA,NA,NA,NA,NA
"1274",1274,1274,1274,5591016,8,8,NA,NA,NA,NA,NA,NA
"1275",1275,1275,1275,9213446,1,3,NA,NA,NA,NA,NA,NA
"1276",1276,1276,1276,237159,102,133,NA,NA,NA,NA,NA,NA
"1277",1277,1277,1277,19979704,2,2,NA,NA,NA,NA,NA,NA
"1278",1278,1278,1278,7473374,9,13,NA,NA,NA,NA,NA,NA
"1279",1279,1279,1279,16144677,4,9,NA,NA,NA,NA,NA,NA
"1280",1280,1280,1280,442596,596,621,NA,NA,NA,NA,NA,NA
"1281",1281,1281,1281,12515207,1,3,NA,NA,NA,NA,NA,NA
"1282",1282,1282,1282,499,41162,42109,NA,NA,NA,"TOP 500 REVIEWER<",NA,NA
"1283",1283,1283,1283,5005228,9,11,NA,NA,NA,NA,NA,NA
"1284",1284,1284,1284,340285,142,166,NA,NA,NA,NA,NA,NA
"1285",1285,1285,1285,2573995,10,17,NA,NA,NA,NA,NA,NA
"1286",1286,1286,1286,96486,100,117,NA,NA,NA,NA,NA,NA
"1287",1287,1287,1287,20030,1773,2398,NA,NA,NA,NA,NA,"VINE VOICE"
"1288",1288,1288,1288,2870831,6,7,NA,NA,NA,NA,NA,NA
"1289",1289,1289,1289,700258,55,120,NA,NA,NA,NA,NA,NA
"1290",1290,1290,1290,769779,24,34,NA,NA,NA,NA,NA,NA
"1291",1291,1291,1291,4620786,13,17,NA,NA,NA,NA,NA,NA
"1292",1292,1292,1292,11686383,3,4,NA,NA,NA,NA,NA,NA
"1293",1293,1293,1293,17430937,0,1,NA,NA,NA,NA,NA,NA
"1294",1294,1294,1294,652217,63,79,NA,NA,NA,NA,NA,NA
"1295",1295,1295,1295,24692873,2,3,NA,NA,NA,NA,NA,NA
"1296",1296,1296,1296,3726850,2,2,NA,NA,NA,NA,NA,NA
"1297",1297,1297,1297,109217,81,97,NA,NA,NA,NA,NA,NA
"1298",1298,1298,1298,1277573,15,21,NA,NA,NA,NA,NA,NA
"1299",1299,1299,1299,87256,449,502,NA,NA,NA,NA,NA,NA
"1300",1300,1300,1300,97038,1240,1679,NA,NA,NA,NA,NA,NA
"1301",1301,1301,1301,7252977,1,1,NA,NA,NA,NA,NA,NA
"1302",1302,1302,1302,47729,133,162,NA,NA,NA,NA,NA,NA
"1303",1303,1303,1303,15643,1307,1670,NA,NA,NA,NA,NA,"VINE VOICE"
"1304",1304,1304,1304,6950142,31,32,NA,NA,NA,NA,NA,NA
"1305",1305,1305,1305,10540,889,1183,NA,NA,NA,NA,NA,"VINE VOICE"
"1306",1306,1306,1306,3104011,4,4,NA,NA,NA,NA,NA,NA
"1307",1307,1307,1307,7900773,2,3,NA,NA,NA,NA,NA,NA
"1308",1308,1308,1308,110231,68,83,NA,NA,NA,NA,NA,NA
"1309",1309,1309,1309,5217741,1,1,NA,NA,NA,NA,NA,NA
"1310",1310,1310,1310,2257368,8,8,NA,NA,NA,NA,NA,NA
"1311",1311,1311,1311,8147,882,1024,NA,NA,NA,NA,NA,"VINE VOICE"
"1312",1312,1312,1312,25904,103,118,NA,NA,NA,NA,NA,NA
"1313",1313,1313,1313,6620867,2,2,NA,NA,NA,NA,NA,NA
"1314",1314,1314,1314,19592990,1,1,NA,NA,NA,NA,NA,NA
"1315",1315,1315,1315,432462,71,106,NA,NA,NA,NA,NA,NA
"1316",1316,1316,1316,4291819,2,3,NA,NA,NA,NA,NA,NA
"1317",1317,1317,1317,950538,50,72,NA,NA,NA,NA,NA,NA
"1318",1318,1318,1318,25987047,4,4,NA,NA,NA,NA,NA,NA
"1319",1319,1319,1319,25907684,0,1,NA,NA,NA,NA,NA,NA
"1320",1320,1320,1320,1625057,8,9,NA,NA,NA,NA,NA,NA
"1321",1321,1321,1321,26998404,1,2,NA,NA,NA,NA,NA,NA
"1322",1322,1322,1322,11242,506,546,NA,NA,NA,NA,NA,NA
"1323",1323,1323,1323,35240721,21,51,NA,NA,NA,NA,NA,NA
"1324",1324,1324,1324,28475,230,257,NA,NA,NA,NA,NA,NA
"1325",1325,1325,1325,4780176,14,37,NA,NA,NA,NA,NA,NA
"1326",1326,1326,1326,1211009,10,11,NA,NA,NA,NA,NA,NA
"1327",1327,1327,1327,12274992,2,2,NA,NA,NA,NA,NA,NA
"1328",1328,1328,1328,393604,33,41,NA,NA,NA,NA,NA,NA
"1329",1329,1329,1329,297202,157,171,NA,NA,NA,NA,NA,NA
"1330",1330,1330,1330,1950,2809,3700,NA,NA,NA,NA,NA,"VINE VOICE"
"1331",1331,1331,1331,406,5820,6449,NA,NA,NA,"TOP 500 REVIEWER<",NA,"VINE VOICE"
"1332",1332,1332,1332,7123751,3,3,NA,NA,NA,NA,NA,NA
"1333",1333,1333,1333,25053214,0,1,NA,NA,NA,NA,NA,NA
"1334",1334,1334,1334,4163471,46,51,NA,NA,NA,NA,NA,NA
"1335",1335,1335,1335,26787747,1,1,NA,NA,NA,NA,NA,NA
"1336",1336,1336,1336,17279261,1,2,NA,NA,NA,NA,NA,NA
"1337",1337,1337,1337,309407,24,35,NA,NA,NA,NA,NA,NA
"1338",1338,1338,1338,6210343,8,11,NA,NA,NA,NA,NA,NA
"1339",1339,1339,1339,19760252,2,2,NA,NA,NA,NA,NA,NA
"1340",1340,1340,1340,126863,543,748,NA,NA,NA,NA,NA,NA
"1341",1341,1341,1341,14515359,1,1,NA,NA,NA,NA,NA,NA
"1342",1342,1342,1342,609750,49,61,NA,NA,NA,NA,NA,NA
"1343",1343,1343,1343,33710,492,703,NA,NA,NA,NA,NA,NA
"1344",1344,1344,1344,12224060,2,3,NA,NA,NA,NA,NA,NA
"1345",1345,1345,1345,9643963,2,4,NA,NA,NA,NA,NA,NA
"1346",1346,1346,1346,328752,24,28,NA,NA,NA,NA,NA,NA
"1347",1347,1347,1347,3275382,9,14,NA,NA,NA,NA,NA,NA
"1348",1348,1348,1348,4012,818,921,NA,NA,NA,NA,NA,"VINE VOICE"
"1349",1349,1349,1349,7454011,2,3,NA,NA,NA,NA,NA,NA
"1350",1350,1350,1350,35054984,0,5,NA,NA,NA,NA,NA,NA
"1351",1351,1351,1351,35008455,26,55,NA,NA,NA,NA,NA,NA
"1352",1352,1352,1352,786,10025,11290,NA,NA,NA,NA,"TOP 1000 REVIEWER<","VINE VOICE"
"1353",1353,1353,1353,13461,532,597,NA,NA,NA,NA,NA,NA
"1354",1354,1354,1354,1919981,10,10,NA,NA,NA,NA,NA,NA
"1355",1355,1355,1355,6488057,1,1,NA,NA,NA,NA,NA,NA
"1356",1356,1356,1356,1665582,8,10,NA,NA,NA,NA,NA,NA
"1357",1357,1357,1357,7712818,2,2,NA,NA,NA,NA,NA,NA
"1358",1358,1358,1358,28456745,1,3,NA,NA,NA,NA,NA,NA
"1359",1359,1359,1359,35199339,15,36,NA,NA,NA,NA,NA,NA
"1360",1360,1360,1360,42291,519,636,NA,NA,NA,NA,NA,NA
"1361",1361,1361,1361,2088684,12,14,NA,NA,NA,NA,NA,NA
"1362",1362,1362,1362,3948627,21,29,NA,NA,NA,NA,NA,NA
"1363",1363,1363,1363,1635547,91,106,NA,NA,NA,NA,NA,NA
"1364",1364,1364,1364,352738,186,228,NA,NA,NA,NA,NA,NA
"1365",1365,1365,1365,3477622,28,54,NA,NA,NA,NA,NA,NA
"1366",1366,1366,1366,402405,80,94,NA,NA,NA,NA,NA,NA
"1367",1367,1367,1367,2006489,3,3,NA,NA,NA,NA,NA,NA
"1368",1368,1368,1368,22133455,1,1,NA,NA,NA,NA,NA,NA
"1369",1369,1369,1369,362369,27,34,NA,NA,NA,NA,NA,NA
"1370",1370,1370,1370,3494119,4,6,NA,NA,NA,NA,NA,NA
"1371",1371,1371,1371,9858669,2,2,NA,NA,NA,NA,NA,NA
"1372",1372,1372,1372,8919295,10,14,NA,NA,NA,NA,NA,NA
"1373",1373,1373,1373,4338989,10,14,NA,NA,NA,NA,NA,NA
"1374",1374,1374,1374,97834,306,399,NA,NA,NA,NA,NA,NA
"1375",1375,1375,1375,1542359,35,42,NA,NA,NA,NA,NA,NA
"1376",1376,1376,1376,1398438,15,20,NA,NA,NA,NA,NA,NA
"1377",1377,1377,1377,9151,974,1173,NA,NA,NA,NA,NA,NA
"1378",1378,1378,1378,5455354,2,2,NA,NA,NA,NA,NA,NA
"1379",1379,1379,1379,11285436,14,15,NA,NA,NA,NA,NA,NA
"1380",1380,1380,1380,2940551,8,13,NA,NA,NA,NA,NA,NA
"1381",1381,1381,1381,34337599,0,2,NA,NA,NA,NA,NA,NA
"1382",1382,1382,1382,34772695,9,13,NA,NA,NA,NA,NA,NA
"1383",1383,1383,1383,35246631,104,266,NA,NA,NA,NA,NA,NA
"1384",1384,1384,1384,6321513,2,2,NA,NA,NA,NA,NA,NA
"1385",1385,1385,1385,999876,9,10,NA,NA,NA,NA,NA,NA
"1386",1386,1386,1386,34209808,0,2,NA,NA,NA,NA,NA,NA
"1387",1387,1387,1387,13854006,1,1,NA,NA,NA,NA,NA,NA
"1388",1388,1388,1388,94908,105,117,NA,NA,NA,NA,NA,NA
